StartTime,EndTime,Device,SensorName,TotalCount
2021-05-27 11:15:31.202934,2021-05-27 11:45:31.202993,skywave,Sensor #1 N1,957
2021-05-27 11:15:31.202934,2021-05-27 11:45:31.202993,skywave,Sensor #2 N2,982
2021-05-27 11:15:31.202934,2021-05-27 11:45:31.202993,skywave,Sensor #3,0
2021-05-27 11:15:31.202934,2021-05-27 11:45:31.202993,skywave,Sensor #4,0
2021-05-27 11:15:31.202934,2021-05-27 11:45:31.202993,skywave,Sensor #5,0
2021-05-27 11:15:31.202934,2021-05-27 11:45:31.202993,skywave,Sensor #6,0
2021-05-27 11:15:31.202934,2021-05-27 11:45:31.202993,skywave,Sensor #7,0
2021-05-27 11:15:31.202934,2021-05-27 11:45:31.202993,skywave,Sensor #8,0
2021-05-27 11:15:31.202934,2021-05-27 11:45:31.202993,skywave,Sensor #9,0
2021-05-27 11:15:31.202934,2021-05-27 11:45:31.202993,skywave,Sensor #10,0
2021-05-27 11:15:31.202934,2021-05-27 11:45:31.202993,skywave,Sensor #11,0
2021-05-27 11:15:31.202934,2021-05-27 11:45:31.202993,skywave,Sensor #12,0
2021-05-27 11:15:31.202934,2021-05-27 11:45:31.202993,skywave,Sensor #13,0
2021-05-27 11:15:31.202934,2021-05-27 11:45:31.202993,skywave,Sensor #14,0
2021-05-27 11:15:31.202934,2021-05-27 11:45:31.202993,skywave,Sensor #15,0
2021-05-27 11:15:31.202934,2021-05-27 11:45:31.202993,skywave,Sensor #16,0
